"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2004,271,158,98,15,0,0,0,143,85,46,0,0,185,86,0
"Alabama","Barbour",2004,49,11,37,1,0,0,0,106,74,54,0,0,0,49,0
"Alabama","Clay",2004,283,167,112,4,0,0,0,129,77,47,0,0,185,98,0
"Alabama","Colbert",2004,276,178,98,0,0,0,0,93,67,45,0,0,180,96,0
"Alabama","DeKalb",2004,361,228,126,7,0,0,0,115,74,44,0,0,271,90,0
"Alabama","Elmore",2004,238,177,55,6,0,0,0,129,80,42,0,0,238,0,0
"Alabama","Escambia",2004,111,37,72,2,0,0,0,101,75,54,0,0,0,110,1
"Alabama","Etowah",2004,284,147,133,4,0,0,0,112,77,50,0,0,176,106,2
"Alabama","Houston",2004,73,21,51,1,0,0,0,126,72,57,0,0,0,70,3
"Alabama","Jackson",2004,335,264,62,9,0,0,0,115,71,40,0,12,323,0,0
"Alabama","Jefferson",2004,366,19,307,36,4,0,0,166,101,71,10,0,27,310,19
"Alabama","Lawrence",2004,278,183,93,2,0,0,0,101,69,45,0,0,186,92,0
"Alabama","Limestone",2004,91,86,5,0,0,0,0,84,44,31,0,4,87,0,0
"Alabama","Madison",2004,365,222,131,12,0,0,0,150,77,44,0,0,260,95,10
"Alabama","Marengo",2004,56,56,0,0,0,0,0,39,31,17,0,0,0,0,56
"Alabama","Mobile",2004,359,226,111,18,3,1,0,263,87,44,0,0,176,90,93
"Alabama","Montgomery",2004,282,174,105,3,0,0,0,124,70,44,0,0,165,117,0
"Alabama","Morgan",2004,285,144,132,9,0,0,0,130,77,50,0,0,181,104,0
"Alabama","Pike",2004,53,53,0,0,0,0,0,49,32,18,0,0,0,0,53
"Alabama","Russell",2004,280,150,123,7,0,0,0,129,78,49,0,0,168,112,0
"Alabama","Shelby",2004,280,148,118,12,2,0,0,179,86,50,0,0,181,99,0
"Alabama","Sumter",2004,269,186,83,0,0,0,0,93,64,42,0,0,165,104,0
"Alabama","Talladega",2004,283,171,107,5,0,0,0,147,71,45,0,0,178,105,0
"Alabama","Tuscaloosa",2004,275,172,101,2,0,0,0,115,71,44,0,0,169,106,0
"Alabama","Walker",2004,117,36,81,0,0,0,0,94,73,56,0,0,0,117,0
"Alaska","Aleutians East ",2004,121,117,4,0,0,0,0,60,30,12,0,0,0,121,0
"Alaska","Anchorage ",2004,306,267,38,1,0,0,0,121,54,26,123,0,0,91,92
"Alaska","Denali ",2004,363,360,3,0,0,0,0,80,44,30,0,0,360,3,0
"Alaska","Fairbanks North Star ",2004,225,176,31,5,3,4,6,859,84,25,154,0,0,71,0
"Alaska","Juneau ",2004,122,95,27,0,0,0,0,90,57,29,0,0,0,113,9
"Alaska","Kenai Peninsula ",2004,115,114,1,0,0,0,0,56,21,7,0,0,0,115,0
"Alaska","Matanuska-Susitna ",2004,121,107,13,0,0,0,1,501,54,12,0,0,0,101,20
"Alaska","Northwest Arctic ",2004,21,21,0,0,0,0,0,46,34,11,0,0,0,21,0
"Alaska","Skagway-Hoonah-Angoon",2004,96,83,12,1,0,0,0,122,55,22,0,0,0,96,0
"Alaska","Wrangell Petersburg",2004,58,56,2,0,0,0,0,55,17,7,0,0,0,58,0
"Arizona","Apache",2004,304,304,0,0,0,0,0,49,38,21,0,0,0,44,260
"Arizona","Cochise",2004,362,242,117,3,0,0,0,108,74,46,0,0,333,28,1
"Arizona","Coconino",2004,362,233,123,6,0,0,0,122,74,47,0,0,338,24,0
"Arizona","Gila",2004,265,125,121,19,0,0,0,133,93,51,0,1,197,61,6
"Arizona","Graham",2004,61,60,1,0,0,0,0,73,24,13,0,0,0,0,61
"Arizona","Maricopa",2004,366,59,256,48,2,0,1,375,105,68,1,94,185,37,49
"Arizona","Mohave",2004,122,115,7,0,0,0,0,86,42,24,0,0,0,102,20
"Arizona","Navajo",2004,335,216,115,4,0,0,0,147,80,46,0,0,322,10,3
"Arizona","Pima",2004,366,212,145,9,0,0,0,115,87,48,0,24,261,59,22
"Arizona","Pinal",2004,366,210,140,16,0,0,0,122,90,48,0,0,327,23,16
"Arizona","Santa Cruz",2004,62,23,39,0,0,0,0,93,65,54,0,0,0,59,3
"Arizona","Yavapai",2004,258,138,109,11,0,0,0,140,84,49,0,0,202,50,6
"Arizona","Yuma",2004,265,192,64,9,0,0,0,115,80,43,0,0,202,0,63
"Arkansas","Arkansas",2004,122,44,78,0,0,0,0,97,71,54,0,0,0,122,0
"Arkansas","Ashley",2004,119,45,74,0,0,0,0,85,73,53,0,0,0,119,0
"Arkansas","Clark",2004,348,310,36,1,1,0,0,154,54,33,0,0,348,0,0
"Arkansas","Crittenden",2004,366,239,117,10,0,0,0,140,79,42,0,0,279,87,0
"Arkansas","Faulkner",2004,120,43,77,0,0,0,0,86,70,55,0,0,0,120,0
"Arkansas","Garland",2004,98,35,63,0,0,0,0,89,67,53,0,0,0,98,0
"Arkansas","Mississippi",2004,108,40,68,0,0,0,0,86,70,53,0,0,0,108,0
"Arkansas","Montgomery",2004,290,279,11,0,0,0,0,93,46,30,0,0,290,0,0
"Arkansas","Newton",2004,360,268,87,5,0,0,0,133,67,41,0,0,313,47,0
"Arkansas","Phillips",2004,114,47,67,0,0,0,0,89,65,53,0,0,0,114,0
"Arkansas","Polk",2004,171,94,77,0,0,0,0,80,64,45,0,0,58,113,0
"Arkansas","Pope",2004,119,44,75,0,0,0,0,99,68,53,0,0,0,119,0
"Arkansas","Pulaski",2004,366,86,268,11,1,0,0,151,80,58,0,2,72,292,0
"Arkansas","Sebastian",2004,110,40,70,0,0,0,0,92,71,56,0,0,0,110,0
"Arkansas","Union",2004,108,41,67,0,0,0,0,87,73,54,0,0,0,108,0
"Arkansas","Washington",2004,92,44,48,0,0,0,0,77,62,51,0,0,0,92,0
"Arkansas","White",2004,119,40,79,0,0,0,0,96,71,55,0,0,0,119,0
"California","Alameda",2004,366,169,181,16,0,0,0,136,84,52,0,11,91,264,0
"California","Amador",2004,366,250,96,18,2,0,0,156,84,41,6,0,360,0,0
"California","Butte",2004,366,152,172,39,3,0,0,172,105,55,2,2,247,114,1
"California","Calaveras",2004,363,219,116,24,4,0,0,156,93,45,3,0,340,20,0
"California","Colusa",2004,365,265,92,8,0,0,0,123,71,41,0,0,225,102,38
"California","Contra Costa",2004,366,253,95,17,1,0,0,164,89,41,0,33,214,119,0
"California","Del Norte",2004,159,155,4,0,0,0,0,53,36,15,0,0,0,110,49
"California","El Dorado",2004,366,178,127,53,8,0,0,192,112,51,0,6,352,7,1
"California","Fresno",2004,366,49,185,107,25,0,0,195,143,87,0,9,215,141,1
"California","Glenn",2004,363,309,54,0,0,0,0,100,61,37,0,0,354,0,9
"California","Humboldt",2004,64,44,20,0,0,0,0,82,62,32,0,0,0,56,8
"California","Imperial",2004,366,115,205,44,2,0,0,164,105,61,13,47,241,49,16
"California","Inyo",2004,366,167,139,35,2,3,20,5637,119,57,0,0,275,11,80
